TITLE = "ShakeTheBox tr Polynomial Order: 2 Length: 5"
VARIABLES = "x[mm]" "y[mm]" "z[mm]" "I" "u[m/s]" "v[m/s]" "w[m/s]" "|V|[m/s]" "trackID" "ax[m/s²]" "ay[m/s²]" "az[m/s²]" "|a|[m/s²]"
ZONE T="Snapshot 0000"
STRANDID=1, SOLUTIONTIME=0
I=52, J=1, K=1, ZONETYPE = Ordered
DATAPACKING = POINT
-720.014597 576.939381 623.839171 1.171789 0.004715 -0.002278 -0.002027 0.005615 0 -0.542151 0.300499 0.110464 0.629626
-685.453848 579.299678 623.685698 0.877335 0.020828 -0.012095 -0.003167 0.024293 1 -0.450389 0.251022 0.090401 0.523483
-684.889727 579.156898 658.582693 1.206622 0.007354 -0.004488 -0.001499 0.008745 2 -0.363021 0.22085 0.058478 0.428928
-683.759542 578.784299 693.083703 1.680955 -0.007722 0.005345 0.00154 0.009517 3 0.318832 -0.221336 -0.063533 0.393294
-649.624355 581.971669 622.970827 0.949769 -0.016824 0.011712 0.00134 0.020542 4 0.721435 -0.512542 -0.068977 0.887652
-649.692065 582.213487 657.628809 0.916003 0.00664 -0.004371 -0.001304 0.008056 5 -0.342472 0.223221 0.05704 0.412757
-649.231759 582.327022 692.596901 1.672128 -0.004572 0.002439 0.001658 0.005441 6 0.212976 -0.107839 -0.094678 0.256811
-648.47209 582.088204 727.652034 1.402233 0.003609 -0.002378 -0.00194 0.004737 7 -0.314186 0.210935 0.097788 0.390856
-647.862839 581.855773 762.623348 1.468125 0.010585 -0.001818 -0.005949 0.012277 8 -0.340081 0.054882 0.160155 0.37989
-647.704284 582.089176 797.491514 1.238996 -0.003093 0.002367 5.536231e-04 0.003934 9 0.080855 -0.066916 -0.025079 0.107908
-646.510638 581.741488 831.88932 0.976357 -0.013553 0.009552 0.005428 0.017447 10 0.615249 -0.426982 -0.272213 0.796834
-615.859046 586.663574 622.159973 0.980831 0.005699 -0.004688 -0.001577 0.007546 11 -0.496581 0.384387 0.074187 0.632337
-614.723139 586.321914 656.847505 0.734859 -0.005663 0.004336 0.001537 0.007296 12 0.077667 -0.06676 -0.025001 0.105424
-614.625074 586.633469 691.838094 1.619578 0.011212 -0.008451 -0.002736 0.014304 13 -0.495415 0.36967 0.107625 0.627435
-613.951834 586.352131 726.824516 1.996856 0.009866 -0.007293 -0.003833 0.012854 14 -0.629577 0.463998 0.193127 0.80558
-612.905439 586.015636 761.560928 2.109679 -0.004375 0.003302 0.001206 0.005612 15 0.186497 -0.142172 -0.064777 0.24329
-612.977315 586.364823 796.605173 0.471389 -0.001277 8.596794e-04 -1.744132e-05 0.00154 16 -0.110872 0.07512 0.064 0.14843
-612.556974 586.315332 831.481838 1.228949 0.002454 -0.001355 -0.001356 0.003114 17 0.013337 -0.03546 -0.019013 0.042389
-580.88887 591.44488 621.814147 1.271036 -0.01168 0.009533 0.001058 0.015114 18 0.7317 -0.588887 -0.079941 0.942637
-580.663494 591.871692 656.769464 1.374922 0.008872 -0.007309 -0.002338 0.01173 19 -0.607327 0.494093 0.126444 0.793071
-579.659481 591.121133 691.474715 2.430118 -0.008912 0.007536 0.001407 0.011755 20 0.476528 -0.404295 -0.092772 0.631775
-579.374365 591.359284 726.619386 2.836619 -0.002256 0.002309 6.210555e-04 0.003288 21 0.026916 -0.038124 -0.00836 0.047411
-578.815216 591.205868 761.5336 2.382129 0.001295 -7.576699e-04 -9.270562e-04 0.001764 22 0.009983 -0.021132 -0.011509 0.026052
-578.824756 591.505008 796.587121 1.943237 0.006764 -0.006101 -0.00367 0.009821 23 -0.056486 0.024729 0.02714 0.06737
-578.160098 591.410081 831.238382 2.201383 0.006108 -0.004546 -0.003073 0.008211 24 -0.197365 0.141589 0.102221 0.263532
-548.208602 596.754841 621.204256 0.642871 -6.661446e-04 0.001807 3.102222e-04 0.001951 25 0.19753 -0.216125 -0.028345 0.294163
-547.440949 596.38513 656.195178 1.33293 -0.011542 0.009924 0.001825 0.015331 26 0.540119 -0.462015 -0.097749 0.717455
-546.56437 596.207106 690.64442 2.030197 -0.002801 0.002723 4.495862e-04 0.003932 27 0.067412 -0.070687 -0.017341 0.099206
-547.151917 597.073283 725.982779 2.13748 0.014853 -0.012227 -0.005305 0.019956 28 -0.585174 0.461471 0.185311 0.767935
-546.382709 596.584677 760.680864 1.917535 -0.001494 0.001429 4.085935e-04 0.002107 29 0.059557 -0.058673 -0.021541 0.086334
-545.724744 596.368882 795.589579 1.971853 6.746153e-04 -2.023249e-04 -9.050602e-04 0.001147 30 -0.110221 0.071484 0.046347 0.139308
-545.872995 596.641917 830.816347 1.91748 -7.490048e-04 0.002636 0.001551 0.003149 31 -0.095902 0.010168 0.004782 0.096558
-513.255785 602.360387 655.471642 0.911711 -0.004796 0.005112 4.860241e-05 0.00701 32 0.10504 -0.127125 -0.011159 0.165283
-512.889156 602.524191 690.137789 1.338355 0.008635 -0.007577 -0.002737 0.01181 33 -0.426166 0.37385 0.127261 0.581013
-512.24155 602.257128 725.088995 1.643082 -7.357433e-04 0.00113 -4.946892e-04 0.001437 34 0.136019 -0.142016 -0.033827 0.199535
-511.944535 602.196722 760.046312 1.217991 -0.002655 0.002608 -1.316431e-05 0.003721 35 -0.011655 0.007446 0.026712 0.03008
-511.857717 602.268376 795.039289 1.452133 -7.479772e-04 9.639941e-04 1.748576e-04 0.001233 36 0.108267 -0.120767 -0.055601 0.171458
-511.593389 602.453815 829.983219 1.451438 0.001522 -0.0012 -0.001284 0.002325 37 -0.060005 0.043801 0.036666 0.082846
-479.923675 608.993165 620.628916 0.723347 -0.007682 0.008842 3.98873e-04 0.01172 38 0.482797 -0.558384 -0.051208 0.739938
-478.877128 608.873686 655.48525 0.429863 0.003025 -0.002988 -0.002332 0.004849 39 0.030989 -0.050294 0.031339 0.066872
-478.59958 608.775454 689.968375 2.166158 6.194863e-04 -6.992915e-04 -0.001837 0.002061 40 0.264485 -0.289457 -0.052879 0.395643
-478.029752 608.502114 725.192754 2.735458 1.202701e-04 4.709157e-04 5.06576e-05 4.886642e-04 41 0.177409 -0.210624 -0.082119 0.287367
-478.299634 608.842109 760.540056 2.322896 0.003682 -0.003522 -0.002029 0.005485 42 -0.196121 0.187411 0.094911 0.287392
-477.732528 608.594514 795.121829 2.861376 1.637207e-05 1.639706e-04 -8.595683e-04 8.752212e-04 43 -0.033584 0.026867 0.035733 0.055916
-477.180086 608.564714 829.9044 2.680596 -0.004172 0.004078 0.001897 0.006135 44 0.132529 -0.139567 -0.073915 0.20617
-719.222017 576.61955 659.081825 2.123261 0.009402 -0.004988 -0.001292 0.010722 45 -0.30396 0.153856 0.024496 0.34156
-718.274994 576.339128 693.648767 2.265478 -6.476063e-04 6.885434e-04 1.410858e-05 9.453491e-04 46 0.15825 -0.111086 -0.038571 0.197157
-683.173842 578.472049 728.122338 1.462408 0.003448 -0.001915 -0.00181 0.004339 47 -0.076248 0.0473 0.037404 0.097211
-682.82621 578.659849 763.070323 1.888661 0.001398 -9.359435e-04 -6.565491e-04 0.001806 48 -0.055951 0.025001 0.021618 0.064984
